Table ID,Line,UniqueID,Variable_Family,Universe,Variable_Concept,Variable_Name,Variable_Type,Variable_Min,Variable_Max,Variable_Count_Blanks,Vasriable_Mean,Variable_Median,Measurement_of_error,MOE_Min,MOE_Max,"MOE_Count_Blanks
",MOE_Mean,MOE_Median,
Place,1,NAME,Predefined Variables,All,"Name of City/Municipality/Census Designated Place with population > 19,999",NAME,string,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
State,2,state,Predefined Variables,All,integer value for state,state,Integer,1,72,0,nan,nan,nan,nan,nan,nan,nan,nan,
Place,3,place,Predefined Variables,All,integer value for place,place,Integer,100,89140,0,nan,nan,nan,nan,nan,nan,nan,nan,
K200101,1,K200101_001,Population by Sex,Total Population,Total:,K200101_001E,string,19001,8335897,0,76214.72697,37847,K200101_001M,-555555555,16020,0,-9029839.989,52,
K200101,2,K200101_002,Population by Sex,Total Population,Male,K200101_002E,string,7829,4007356,0,37525.57149,18651,K200101_002M,172,10870,0,1995.867445,1801,
K200101,3,K200101_003,Population by Sex,Total Population,Female,K200101_003E,string,6539,4328541,0,38689.15548,19278,K200101_003M,172,10872,0,1995.146311,1794,
K200102,1,K200102_001,Population Under 18 Years by Age,Population under 18 years,Total:,K200102_001E,string,1342,1677428,41,16759.49746,8532,K200102_001M,-555555555,13914,41,-940400.8584,1807.5,
K200102,2,K200102_002,Population Under 18 Years by Age,Population under 18 years,In households:,K200102_002E,string,1136,1669312,41,16724.85581,8504.5,K200102_002M,2,13966,41,2018.006361,1807.5,
K200102,3,K200102_003,Population Under 18 Years by Age,Population under 18 years,Under 3 years,K200102_003E,string,0,270142,41,2562.687447,1287,K200102_003M,81,7769,41,787.8765903,671,
K200102,4,K200102_004,Population Under 18 Years by Age,Population under 18 years,3 to 5 years,K200102_004E,string,72,281642,41,2688.287956,1389.5,K200102_004M,117,8551,41,831.3095844,708,
K200102,5,K200102_005,Population Under 18 Years by Age,Population under 18 years,6 to 8 years,K200102_005E,string,36,269912,41,2761.820611,1453.5,K200102_005M,64,7884,41,840.9109415,711,
K200102,6,K200102_006,Population Under 18 Years by Age,Population under 18 years,9 to 11 years,K200102_006E,string,0,277623,41,2810.396522,1496.5,K200102_006M,118,8471,41,842.2247668,714,
K200102,7,K200102_007,Population Under 18 Years by Age,Population under 18 years,12 to 14 years,K200102_007E,string,0,298465,41,2981.274809,1573.5,K200102_007M,70,8602,41,871.14419,740,
K200102,8,K200102_008,Population Under 18 Years by Age,Population under 18 years,15 to 17 years,K200102_008E,string,96,271528,41,2920.388465,1569,K200102_008M,6,5310,41,765.4563189,680,
K200102,9,K200102_009,Population Under 18 Years by Age,Population under 18 years,In group quarters,K200102_009E,string,0,8116,41,34.64164546,0,K200102_009M,1,1325,41,137.8575064,201.5,
K200103,1,K200103_001,Median Age by Sex,Total Population,Total:,K200103_001E,string,15.3,74.6,0,38.16769487,37.9,K200103_001M,0.1,16.8,0,3.574155898,3.3,
K200103,2,K200103_002,Median Age by Sex,Total Population,Male,K200103_002E,string,15,75.3,0,37.07286369,36.7,K200103_002M,0.1,25.2,0,4.383993331,3.9,
K200103,3,K200103_003,Median Age by Sex,Total Population,Female,K200103_003E,string,16.1,74.3,0,39.29553981,39,K200103_003M,0.1,16.9,0,4.611504794,4.2,
K200104,1,K200104_001,Population by Age,Total Population,Total:,K200104_001E,string,19001,8335897,0,76214.72697,37847,K200104_001M,-555555555,16020,0,-9029839.989,52,
K200104,2,K200104_002,Population by Age,Total Population,Under 18 years,K200104_002E,string,173,1677428,0,16525.3243,8402,K200104_002M,-555555555,13914,0,-924301.8983,1805,
K200104,3,K200104_003,Population by Age,Total Population,18 to 24 years,K200104_003E,string,0,697456,0,7899.320133,3503,K200104_003M,98,9041,0,1331.910379,1165,
K200104,4,K200104_004,Population by Age,Total Population,25 to 34 years,K200104_004E,string,81,1377572,0,11603.94456,5123,K200104_004M,136,12739,0,1610.326386,1408,
K200104,5,K200104_005,Population by Age,Total Population,35 to 44 years,K200104_005E,string,272,1149323,0,10436.42184,5168,K200104_005M,246,9832,0,1492.547728,1318,
K200104,6,K200104_006,Population by Age,Total Population,45 to 54 years,K200104_006E,string,242,1020541,0,9097.952897,4609,K200104_006M,283,10506,0,1395.996665,1241,
K200104,7,K200104_007,Population by Age,Total Population,55 to 64 years,K200104_007E,string,0,1020739,0,8828.441851,4661,K200104_007M,-555555555,9294,0,-230225.98,1204,
K200104,8,K200104_008,Population by Age,Total Population,65 years and over,K200104_008E,string,0,1392838,0,11823.32138,6348,K200104_008M,-555555555,11099,0,-230065.0809,1352,
K200201,1,K200201_001,Race,Total Population,Total:,K200201_001E,string,19001,8335897,316,83720.10706,42642,K200201_001M,-555555555,16020,316,-9866662.195,47,
K200201,2,K200201_002,Race,Total Population,White alone,K200201_002E,string,332,2781859,316,41145.55545,23907,K200201_002M,298,20733,316,3236.084974,2867,
K200201,3,K200201_003,Race,Total Population,Black or African American alone,K200201_003E,string,0,1822642,316,12854.87806,3393,K200201_003M,2,20034,316,2052.75036,1638,
K200201,4,K200201_004,Race,Total Population,American Indian and Alaska Native alone,K200201_004E,string,0,70968,316,767.2986078,183,K200201_004M,2,9543,316,520.7258761,239,
K200201,5,K200201_005,Race,Total Population,Asian alone,K200201_005E,string,0,1238974,316,7095.488238,2001,K200201_005M,1,15655,316,1429.954393,1053,
K200201,6,K200201_006,Race,Total Population,Native Hawaiian and Other Pacific Islander alone,K200201_006E,string,0,28291,316,212.6519443,0,K200201_006M,2,3996,316,310.9587134,218,
K200201,7,K200201_007,Race,Total Population,Some Other Race alone,K200201_007E,string,0,1394819,316,8704.558809,2465,K200201_007M,2,29581,316,2098.867499,1536,
K200201,8,K200201_008,Race,Total Population,Two or More Races,K200201_008E,string,275,1021966,316,12939.67595,5283,K200201_008M,239,29294,316,2548.643783,2042,
K200301,1,K200301_001,Hispanic or Latino Origin,Total Population,Total:,K200301_001E,string,19001,8335897,2,76258.09178,37893,K200301_001M,-555555555,16020,2,-9037377.796,52,
K200301,2,K200301_002,Hispanic or Latino Origin,Total Population,Not Hispanic or Latino,K200301_002E,string,0,5912694,2,56736.43012,29805,K200301_002M,-555555555,19981,2,-7181916.69,2793,
K200301,3,K200301_003,Hispanic or Latino Origin,Total Population,Hispanic or Latino,K200301_003E,string,0,2423203,2,19521.66166,5901,K200301_003M,-555555555,19985,2,-7182462.04,2024,
K200501PR,1,K200501PR_001,Citizenship Status in Puerto Rico,Total Population in Puerto Rico,Total:,K200501PR_001E,string,20079,319837,2386,85330.08,57929,K200501PR_001M,-555555555,4611,2386,-42731862.92,3134,
K200501PR,2,K200501PR_002,Citizenship Status in Puerto Rico,Total Population in Puerto Rico,U.S. citizen,K200501PR_002E,string,20079,304623,2386,83050.77,57380,K200501PR_002M,232,4614,2386,3328.846154,3509,
K200501PR,3,K200501PR_003,Citizenship Status in Puerto Rico,Total Population in Puerto Rico,Not a U.S. citizen,K200501PR_003E,string,0,15214,2386,2279.308,725,K200501PR_003M,182,3144,2386,969,806,
K200501,1,K200501_001,Citizenship Status in the United States,Total Population in United States,Total:,K200501_001E,string,19001,8335897,16,76227.80151,37840,K200501_001M,-555555555,16020,16,-8857355.214,51,
K200501,2,K200501_002,Citizenship Status in the United States,Total Population in United States,U.S. citizen,K200501_002E,string,8466,7119438,16,69405.60722,35117,K200501_002M,20,27841,16,2660.138061,2357,
K200501,3,K200501_003,Citizenship Status in the United States,Total Population in United States,Not a U.S. citizen,K200501_003E,string,0,1216459,16,6822.194293,2360,K200501_003M,3,27841,16,1565.969786,1222,
K200503,1,K200503_001,Place of Birth in the United States,Total Population in United States,Total:,K200503_001E,string,19001,8335897,15,76209.43247,37808,K200503_001M,-555555555,16020,15,-8853639.905,51,
K200503,2,K200503_002,Place of Birth in the United States,Total Population in United States,Native:,K200503_002E,string,6618,5270761,15,61878.34564,31611.5,K200503_002M,121,33107,15,2870.5,2651.5,
K200503,3,K200503_003,Place of Birth in the United States,Total Population in United States,"Native, born in state of residence",K200503_003E,string,989,3998613,15,40155.81879,20848,K200503_003M,458,35090,15,3085.256292,2717.5,
K200503,4,K200503_004,Place of Birth in the United States,Total Population in United States,"Native, born in other state in the United States",K200503_004E,string,176,974492,15,20149.24497,9997.5,K200503_004M,196,20691,15,2339.395134,1988,
K200503,5,K200503_005,Place of Birth in the United States,Total Population in United States,"Native, born outside the United States",K200503_005E,string,0,297656,15,1573.281879,607,K200503_005M,2,13388,15,659.5318792,457.5,
K200503,6,K200503_006,Place of Birth in the United States,Total Population in United States,Foreign-born,K200503_006E,string,8,3065136,15,14331.08683,5313,K200503_006M,2,33107,15,2069.613674,1723.5,
K200503PR,1,K200503PR_001,Place of Birth in Puerto Rico,Total Population in Puerto Rico,Total:,K200503PR_001E,string,22364,319837,2387,90767.67,63190,K200503PR_001M,-555555555,4611,2387,-46293112.67,3326.5,
K200503PR,2,K200503PR_002,Place of Birth in Puerto Rico,Total Population in Puerto Rico,Born in Puerto Rico,K200503PR_002E,string,21016,268296,2387,80573.92,57746,K200503PR_002M,555,4986,2387,3466.833333,3451.5,
K200503PR,3,K200503PR_003,Place of Birth in Puerto Rico,Total Population in Puerto Rico,Born in the United States,K200503PR_003E,string,629,16035,2387,4420.25,2936.5,K200503PR_003M,349,2611,2387,1173.416667,937.5,
K200503PR,4,K200503PR_004,Place of Birth in Puerto Rico,Total Population in Puerto Rico,"Native, born elsewhere",K200503PR_004E,string,0,2146,2387,544.0833,374,K200503PR_004M,90,769,2387,388.9166667,348,
K200503PR,5,K200503PR_005,Place of Birth in Puerto Rico,Total Population in Puerto Rico,Foreign-born,K200503PR_005E,string,142,33360,2387,5229.417,2029,K200503PR_005M,182,4027,2387,1289.833333,1063.5,
K200701,1,K200701_001,Geographical Mobility in the Past Year in the United States,Population 1 year and over in the United States,Total:,K200701_001E,string,18520,8241504,321,82460.96679,41680,K200701_001M,16,15768,321,1765.917228,731,
K200701,2,K200701_002,Geographical Mobility in the Past Year in the United States,Population 1 year and over in the United States,Same house 1 year ago,K200701_002E,string,10055,7362100,321,70508.13667,35899.5,K200701_002M,610,28386,321,3252.357074,2841.5,
K200701,3,K200701_003,Geographical Mobility in the Past Year in the United States,Population 1 year and over in the United States,Moved within same county,K200701_003E,string,0,469488,321,6184.701155,2737.5,K200701_003M,84,21467,321,1797.559673,1437,
K200701,4,K200701_004,Geographical Mobility in the Past Year in the United States,Population 1 year and over in the United States,Moved from different county within same state,K200701_004E,string,0,175831,321,2683.588065,1445.5,K200701_004M,2,11992,321,1085.044755,869,
K200701,5,K200701_005,Geographical Mobility in the Past Year in the United States,Population 1 year and over in the United States,Moved from different state,K200701_005E,string,0,148321,321,2350.61309,941,K200701_005M,2,8848,321,943.7901829,693,
K200701,6,K200701_006,Geographical Mobility in the Past Year in the United States,Population 1 year and over in the United States,Moved from abroad,K200701_006E,string,0,85764,321,733.9278152,225,K200701_006M,2,8290,321,509.0115496,263.5,
K200701PR,1,K200701PR_001,Geographical Mobility in the Past Year in Puerto Rico,Population 1 year and over in Puerto Rico,Total:,K200701PR_001E,string,23892,317924,2388,96342,67788,K200701PR_001M,2480,4552,2388,3471.545,3577,
K200701PR,2,K200701PR_002,Geographical Mobility in the Past Year in Puerto Rico,Population 1 year and over in Puerto Rico,Same house 1 year ago,K200701PR_002E,string,22808,292956,2388,89196.82,62610,K200701PR_002M,2810,4862,2388,3954.364,3864,
K200701PR,3,K200701PR_003,Geographical Mobility in the Past Year in Puerto Rico,Population 1 year and over in Puerto Rico,Moved within same municipio,K200701PR_003E,string,607,13251,2388,3866.636,3048,K200701PR_003M,547,2896,2388,1558.636,1380,
K200701PR,4,K200701PR_004,Geographical Mobility in the Past Year in Puerto Rico,Population 1 year and over in Puerto Rico,Moved from different municipio,K200701PR_004E,string,198,9442,2388,2372.364,1904,K200701PR_004M,187,2545,2388,1078.455,1015,
K200701PR,5,K200701PR_005,Geographical Mobility in the Past Year in Puerto Rico,Population 1 year and over in Puerto Rico,Moved from the United States,K200701PR_005E,string,54,1386,2388,652,326,K200701PR_005M,95,1287,2388,532.9091,405,
K200701PR,6,K200701PR_006,Geographical Mobility in the Past Year in Puerto Rico,Population 1 year and over in Puerto Rico,Moved from elsewhere,K200701PR_006E,string,0,894,2388,254.1818,64,K200701PR_006M,106,1483,2388,466,244,
K200801,1,K200801_001,Means of Transportation to Work,Workers 16 years and over,Total:,K200801_001E,string,5407,3944672,75,38574.00645,18910,K200801_001M,825,24300,75,2517.80809,2246.5,
K200801,2,K200801_002,Means of Transportation to Work,Workers 16 years and over,"Car, truck, or van - drove alone",K200801_002E,string,1525,1151379,75,24906.83692,13107.5,K200801_002M,523,18547,75,2366.79346,2045.5,
K200801,3,K200801_003,Means of Transportation to Work,Workers 16 years and over,"Car, truck, or van - carpooled",K200801_003E,string,0,181212,75,3404.055077,1683.5,K200801_003M,2,9455,75,1071.268072,870.5,
K200801,4,K200801_004,Means of Transportation to Work,Workers 16 years and over,Public transportation (excluding taxicab),K200801_004E,string,0,1732992,75,1855.731497,188,K200801_004M,1,21564,75,434.5443201,237,
K200801,5,K200801_005,Means of Transportation to Work,Workers 16 years and over,"Taxicab, motorcycle, bicycle, walked, or other means",K200801_005E,string,0,534438,75,2023.45568,687.5,K200801_005M,2,11840,75,642.4548193,484.5,
K200801,6,K200801_006,Means of Transportation to Work,Workers 16 years and over,Worked from home,K200801_006E,string,0,634778,75,6383.927281,2843.5,K200801_006M,82,17731,75,1199.080895,995.5,
K200802,1,K200802_001,Travel Time to Work,Workers 16 years and over who did not work from home,Total:,K200802_001E,string,1662,3309894,1,31482.37865,15491.5,K200802_001M,599,23481,1,2479.55171,2172,
K200802,2,K200802_002,Travel Time to Work,Workers 16 years and over who did not work from home,Less than 10 minutes,K200802_002E,string,0,151097,1,3527.166389,2082,K200802_002M,76,8292,1,992.3603003,868,
K200802,3,K200802_003,Travel Time to Work,Workers 16 years and over who did not work from home,10 to 29 minutes,K200802_003E,string,574,897187,1,16478.36989,7988,K200802_003M,339,20203,1,2001.488741,1692.5,
K200802,4,K200802_004,Travel Time to Work,Workers 16 years and over who did not work from home,30 to 59 minutes,K200802_004E,string,44,1392776,1,8906.359883,4401,K200802_004M,76,22109,1,1500.944537,1263.5,
K200802,5,K200802_005,Travel Time to Work,Workers 16 years and over who did not work from home,60 minutes or more,K200802_005E,string,0,868834,1,2570.482485,1122.5,K200802_005M,55,19073,1,778.5379483,627.5,
K200901,1,K200901_001,Household Type,Households,Total:,K200901_001E,string,3841,3373039,13,29903.16345,14528.5,K200901_001M,530,12815,13,1562.502096,1381,
K200901,2,K200901_002,Household Type,Households,Family households:,K200901_002E,string,1336,1917514,13,18159.96605,9404,K200901_002M,419,15673,13,1314.911567,1137,
K200901,3,K200901_003,Household Type,Households,Married-couple family,K200901_003E,string,1074,1175427,13,12547.78374,6856.5,K200901_003M,336,17132,13,1295.85373,1112,
K200901,4,K200901_004,Household Type,Households,Other family:,K200901_004E,string,169,742087,13,5612.182313,2651,K200901_004M,159,15154,13,1074.760687,906.5,
K200901,5,K200901_005,Household Type,Households,"Male householder, no spouse present",K200901_005E,string,0,190279,13,1608.091366,805.5,K200901_005M,44,7329,13,622.7154233,529.5,
K200901,6,K200901_006,Household Type,Households,"Female householder, no spouse present",K200901_006E,string,53,551808,13,4004.090947,1895.5,K200901_006M,63,12414,13,911.4140821,770.5,
K200901,7,K200901_007,Household Type,Households,Nonfamily households:,K200901_007E,string,274,1455525,13,11743.1974,5139,K200901_007M,215,18231,13,1515.192372,1267,
K200901,8,K200901_008,Household Type,Households,Householder living alone,K200901_008E,string,85,1149486,13,9178.512573,4083,K200901_008M,138,19244,13,1396.277452,1174.5,
K200901,9,K200901_009,Household Type,Households,Householder not living alone,K200901_009E,string,0,306039,13,2564.684828,1010,K200901_009M,30,11805,13,720.7510478,589.5,
K201001,1,K201001_001,Marital Status for the Population 15 Years and Over,Population 15 years and over,Total:,K201001_001E,string,12692,6932263,1,62608.39491,30740.5,K201001_001M,6,14854,1,2457.35196,2213,
K201001,2,K201001_002,Marital Status for the Population 15 Years and Over,Population 15 years and over,Never married,K201001_002E,string,1511,3054681,1,24394.42952,10747,K201001_002M,542,27472,1,2352.811093,2029,
K201001,3,K201001_003,Marital Status for the Population 15 Years and Over,Population 15 years and over,Now married (except separated),K201001_003E,string,2710,2759194,1,27485.4583,14854.5,K201001_003M,687,30544,1,2573.087156,2208.5,
K201001,4,K201001_004,Marital Status for the Population 15 Years and Over,Population 15 years and over,Separated,K201001_004E,string,0,193853,1,1136.176814,481,K201001_004M,2,7650,1,508.2214345,399.5,
K201001,5,K201001_005,Marital Status for the Population 15 Years and Over,Population 15 years and over,Widowed,K201001_005E,string,0,352572,1,3120.373228,1701.5,K201001_005M,62,11207,1,782.7898249,676.5,
K201001,6,K201001_006,Marital Status for the Population 15 Years and Over,Population 15 years and over,Divorced,K201001_006E,string,57,571963,1,6471.957048,3335,K201001_006M,46,13914,1,1284.394912,1092,
K201101,1,K201101_001,Own Children Under 18 Years by Family Type,Own children under 18 years,Total:,K201101_001E,string,1234,1407064,299,15762.73238,8226,K201101_001M,409,15582,299,2105.364762,1846.5,
K201101,2,K201101_002,Own Children Under 18 Years by Family Type,Own children under 18 years,In married-couple families,K201101_002E,string,414,902048,299,10349.65476,5650.5,K201101_002M,399,16913,299,1965.695714,1694.5,
K201101,3,K201101_003,Own Children Under 18 Years by Family Type,Own children under 18 years,In other families:,K201101_003E,string,185,505016,299,5413.077619,2583.5,K201101_003M,158,16801,299,1596.315714,1311,
K201101,4,K201101_004,Own Children Under 18 Years by Family Type,Own children under 18 years,"Male householder, no spouse present",K201101_004E,string,0,96380,299,1271.748571,614,K201101_004M,32,8789,299,775.6252381,566,
K201101,5,K201101_005,Own Children Under 18 Years by Family Type,Own children under 18 years,"Female householder, no spouse present",K201101_005E,string,0,408636,299,4141.329048,1915,K201101_005M,61,15314,299,1417.16619,1143,
K201102,1,K201102_001,Households by Presence of People 60 Years and Over by Household Type,Households,Total:,K201102_001E,string,3841,3373039,4,29820.58205,14475,K201102_001M,530,12815,4,1561.199582,1380,
K201102,2,K201102_002,Households by Presence of People 60 Years and Over by Household Type,Households,Households with one or more people 60 years and over:,K201102_002E,string,542,1379207,4,11324.16242,5922,K201102_002M,153,11607,4,1311.987891,1152,
K201102,3,K201102_003,Households by Presence of People 60 Years and Over by Household Type,Households,Family households,K201102_003E,string,406,818716,4,6720.494781,3629,K201102_003M,152,12347,4,1030.503132,888,
K201102,4,K201102_004,Households by Presence of People 60 Years and Over by Household Type,Households,Nonfamily households,K201102_004E,string,0,560491,4,4603.667641,2299,K201102_004M,49,11857,4,934.8964509,800,
K201102,5,K201102_005,Households by Presence of People 60 Years and Over by Household Type,Households,Households with no people 60 years and over:,K201102_005E,string,677,1993832,4,18496.41962,8467,K201102_005M,404,13330,4,1462.279749,1272,
K201102,6,K201102_006,Households by Presence of People 60 Years and Over by Household Type,Households,Family households,K201102_006E,string,234,1098798,4,11393.24843,5814,K201102_006M,203,14897,4,1264.646347,1072,
K201102,7,K201102_007,Households by Presence of People 60 Years and Over by Household Type,Households,Nonfamily households,K201102_007E,string,0,895034,4,7103.17119,2706,K201102_007M,12,15447,4,1195.725678,999,
K201401,1,K201401_001,School Enrollment by Level of School for the Population 3 Years and Over,Population 3 years and over,Total:,K201401_001E,string,17747,8063822,23,74137.75084,36781,K201401_001M,87,14883,23,2117.144781,1246,
K201401,2,K201401_002,School Enrollment by Level of School for the Population 3 Years and Over,Population 3 years and over,Enrolled in school:,K201401_002E,string,1689,1944333,23,19138.75042,9425,K201401_002M,687,17704,23,2184.368266,1927,
K201401,3,K201401_003,School Enrollment by Level of School for the Population 3 Years and Over,Population 3 years and over,"Enrolled in nursery school, preschool",K201401_003E,string,0,137049,23,1058.248737,560,K201401_003M,45,7397,23,514.6679293,423,
K201401,4,K201401_004,School Enrollment by Level of School for the Population 3 Years and Over,Population 3 years and over,Enrolled in kindergarten,K201401_004E,string,0,95965,23,912.5130471,468.5,K201401_004M,2,5962,23,468.4389731,384,
K201401,5,K201401_005,School Enrollment by Level of School for the Population 3 Years and Over,Population 3 years and over,Enrolled in grade 1 to grade 4,K201401_005E,string,154,358484,23,3608.165825,1907.5,K201401_005M,178,9462,23,977.4364478,839,
K201401,6,K201401_006,School Enrollment by Level of School for the Population 3 Years and Over,Population 3 years and over,Enrolled in grade 5 to grade 8,K201401_006E,string,56,387474,23,3783.242424,1987,K201401_006M,95,10595,23,998.0837542,847,
K201401,7,K201401_007,School Enrollment by Level of School for the Population 3 Years and Over,Population 3 years and over,Enrolled in grade 9 to grade 12,K201401_007E,string,11,380375,23,3946.930976,2100.5,K201401_007M,21,7217,23,974.9225589,848.5,
K201401,8,K201401_008,School Enrollment by Level of School for the Population 3 Years and Over,Population 3 years and over,"Enrolled in college, undergraduate years",K201401_008E,string,0,413501,23,4512.611532,1849,K201401_008M,107,11320,23,1034.641414,840,
K201401,9,K201401_009,School Enrollment by Level of School for the Population 3 Years and Over,Population 3 years and over,Graduate or professional school,K201401_009E,string,0,171485,23,1317.037879,532.5,K201401_009M,2,8354,23,541.2491582,410.5,
K201401,10,K201401_010,School Enrollment by Level of School for the Population 3 Years and Over,Population 3 years and over,Not enrolled in school,K201401_010E,string,2863,6119489,23,54999.00042,27161.5,K201401_010M,706,16304,23,2562.23569,2315,
K201501,1,K201501_001,Educational Attainment for the Population 25 Years and Over,Population 25 years and over,Total:,K201501_001E,string,7319,5961013,2,51825.74718,25391,K201501_001M,98,14956,2,2386.518565,2187,
K201501,2,K201501_002,Educational Attainment for the Population 25 Years and Over,Population 25 years and over,Less than 9th grade,K201501_002E,string,0,528998,2,2899.341677,925,K201501_002M,2,16448,2,807.2190238,610,
K201501,3,K201501_003,Educational Attainment for the Population 25 Years and Over,Population 25 years and over,"9th to 12th grade, no diploma",K201501_003E,string,0,450078,2,2987.237797,1265,K201501_003M,2,13103,2,843.5544431,678,
K201501,4,K201501_004,Educational Attainment for the Population 25 Years and Over,Population 25 years and over,High school graduate (includes equivalency),K201501_004E,string,264,1380877,2,11990.70588,6324,K201501_004M,171,19994,2,1771.640801,1525,
K201501,5,K201501_005,Educational Attainment for the Population 25 Years and Over,Population 25 years and over,"Some college, no degree",K201501_005E,string,475,760248,2,9655.684189,4988,K201501_005M,294,19230,2,1549.21068,1297,
K201501,6,K201501_006,Educational Attainment for the Population 25 Years and Over,Population 25 years and over,Associate's degree,K201501_006E,string,0,375363,2,4223.411765,2301,K201501_006M,96,12433,2,1039.941176,875,
K201501,7,K201501_007,Educational Attainment for the Population 25 Years and Over,Population 25 years and over,Bachelor's degree,K201501_007E,string,194,1424741,2,12082.35127,5948,K201501_007M,160,21755,2,1628.521485,1373,
